,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
42,TA,TRSGAS02,Gunduma,35005,No,INEC,3/16/2019,c601d05c-c819-465b-8b11-81f14b4958d0,NIE TRS GAS,57,Gunduma,0,Rural,Rural,Rural,Rural,66,Gunduma,76.5,66,Gunduma,30761
26,TA,TRSDGA05,Gyata Aure,35003,No,INEC,3/16/2019,62938365-d122-4197-9ca9-94e58685bab7,NIE TRS DGA,58,Gyata Aure,4.87523567,Rural,Rural,Rural,Rural,155,Gyata Aure,148.5,155,Gyata Aure,9430
141,TA,TRSWKR05,Hospital,35014,No,INEC,3/16/2019,64dde344-5536-4c22-b2b3-e14091761db8,NIE TRS WKR,59,Hospital,7.796352033,Rural,Rural,Rural,Rural,10,Hospital,20.5,10,Hospital,80786
7,TA,TRSARD04,Iware,35001,No,INEC,3/16/2019,f8b40537-0b8c-4ed6-b630-c6bdfde9cf3a,NIE TRS ARD,60,Iware,0,Rural,Rural,Rural,Rural,146,Iware,138,146,Iware,24570
34,TA,TRSGKA06,Jamtari,35004,No,INEC,3/16/2019,2b2bbb66-a3e2-4345-9f8d-38f5979373c9,NIE TRS GKA,61,Jamtari,0,Rural,Rural,Rural,Rural,67,Jamtari,76.5,67,Jamtari,22144
2,TA,TRSARD05,Jauro Yinu,35001,No,INEC,3/16/2019,312c1c6a-4b5e-4e3d-b6ff-f4225f8d172c,NIE TRS ARD,62,Jauro Yinu,0,Rural,Rural,Rural,Rural,22,Jauro Yinu,29,22,Jauro Yinu,11583
77,TA,TRSKLD04,Jen Ardido,35008,No,INEC,3/16/2019,1ac2701f-9f31-44dd-8cf5-fd7c52583018,NIE TRS KLD,63,Jen Ardido,0,Rural,Rural,Rural,Rural,140,Jen Ardido,135.5,140,Jen Ardido,25210
79,TA,TRSKLD05,Jen Kaigama,35008,No,INEC,3/16/2019,37bb52c4-a171-45b1-b25f-40d6bc2e4603,NIE TRS KLD,64,Jen Kaigama,0,Rural,Rural,Rural,Rural,123,Jen Kaigama,119.5,123,Jenkaigama,36475
130,TA,TRSUSS02,Jenuwa Gida,35013,No,INEC,3/16/2019,049633e2-4546-4122-b8aa-6f7678568546,NIE TRS USS,65,Jenuwa Gida,0,Rural,Rural,Rural,Rural,20,Jenuwa Gida,27.5,20,Jenuwa Gida,10749
135,TA,TRSUSS03,Jenuwa Kogi,35013,No,INEC,3/16/2019,1efbb928-36bb-4b46-a318-f8fc55dd69e9,NIE TRS USS,66,Jenuwa Kogi,0,Rural,Rural,Rural,Rural,90,Jenuwa Kogi,92.5,90,Jenuwa Kogi,13040
139,TA,TRSWKR06,Jibu,35014,No,INEC,3/16/2019,ab63e733-ed95-4fe8-9494-c7da7f42eb83,NIE TRS WKR,67,Jibu,0.147812592,Rural,Rural,Rural,Rural,42,Jibu,54.5,42,Jibu,41395
104,TA,TRSLAU06,Jimlari,35010,No,INEC,3/16/2019,49ead9ba-327a-4b53-a1c5-7a4266e4945f,NIE TRS LAU,68,Jimlari,0,Rural,Rural,Rural,Rural,93,Jimlari,96,93,Jimlari,29327
113,TA,TRSSDA03,Kabri,35011,No,INEC,3/16/2019,7cc9a6b0-47aa-4bcb-8cba-2fcff68d5fc9,NIE TRS SDA,69,Kabri,0,Rural,Rural,Rural,Rural,103,Kabri,101,103,Kabri,49879
72.1,TA,TRSJAL02,Kachala-Sembe,35007,No,INEC,3/16/2019,76118db0-bd44-420d-be8e-114992a69f3a,NIE TRS JAL,70,Kachala-Sembe,0,Rural,Rural,Rural,Rural,7,Kachala-Sembe,13,7,Kassala-Sembe,19049
